protein_family,best_model,best_metric,best_score
Enzyme,rf,f1_score,0.9853
Enzyme,xgb,f1_score,0.9917
GPCR,mlp,f1_score,0.992
Other,xgb,f1_score,1.0
Other,xgb,f1_score,1.0
Enzyme,xgb,f1_score,0.9963
Kinase,rf,f1_score,1.0
Kinase,rf,f1_score,1.0
Enzyme,xgb,f1_score,0.9579
Kinase,mlp,f1_score,0.9966
Kinase,rf,f1_score,0.9971
Enzyme,rf,f1_score,0.988
Kinase,rf,f1_score,1.0
GPCR,xgb,f1_score,0.9857
GPCR,rf,f1_score,0.9899
Enzyme,mlp,f1_score,0.9905
Kinase,rf,f1_score,0.9853
Enzyme,xgb,f1_score,0.9866
Enzyme,rf,f1_score,1.0
GPCR,xgb,f1_score,0.9954
Other,xgb,f1_score,1.0
Other,rf,f1_score,1.0
Other,xgb,f1_score,1.0
Epigenetic,rf,f1_score,0.9924
Kinase,xgb,f1_score,0.988
GPCR,xgb,f1_score,1.0
GPCR,mlp,f1_score,0.998
Enzyme,xgb,f1_score,0.9904
Enzyme,svc,f1_score,1.0
Kinase,mlp,f1_score,0.9976
Other,rf,f1_score,0.9819
GPCR,xgb,f1_score,1.0
Kinase,xgb,f1_score,0.9943
TF,rf,f1_score,0.9839
GPCR,mlp,f1_score,0.9857
Other,svc,f1_score,0.9926
Kinase,rf,f1_score,1.0
Enzyme,svc,f1_score,0.9882
GPCR,rf,f1_score,1.0
Enzyme,xgb,f1_score,0.9971
IC,rf,f1_score,1.0
GPCR,rf,f1_score,0.9756
Other,mlp,f1_score,1.0
Other,rf,f1_score,0.9889
Transporter,svc,f1_score,0.9943
Other,svc,f1_score,0.9704
Epigenetic,rf,f1_score,1.0
GPCR,svc,f1_score,0.9953
Kinase,rf,f1_score,0.9918
GPCR,mlp,f1_score,0.9953
Enzyme,rf,f1_score,0.9902
Enzyme,xgb,f1_score,0.9794
IC,xgb,f1_score,0.9854
Other,svc,f1_score,0.9806
Enzyme,rf,f1_score,0.9793
GPCR,rf,f1_score,0.9977
Enzyme,rf,f1_score,0.9957
IC,mlp,f1_score,0.9971
Kinase,svc,f1_score,0.9986
Enzyme,rf,f1_score,1.0
GPCR,rf,f1_score,0.9986
Enzyme,mlp,f1_score,0.9718
Other,rf,f1_score,1.0
Other,xgb,f1_score,1.0
Enzyme,svc,f1_score,0.9919
Enzyme,rf,f1_score,0.987
Other,xgb,f1_score,0.9982
GPCR,rf,f1_score,0.9894
GPCR,rf,f1_score,0.9754
Enzyme,xgb,f1_score,1.0
GPCR,xgb,f1_score,1.0
Kinase,xgb,f1_score,0.9948
Other,rf,f1_score,1.0
Enzyme,svc,f1_score,0.8824
Kinase,svc,f1_score,0.9983
GPCR,svc,f1_score,0.9908
Enzyme,rf,f1_score,1.0
Enzyme,xgb,f1_score,0.9955
GPCR,mlp,f1_score,0.9969
Kinase,svc,f1_score,0.992
Enzyme,mlp,f1_score,0.9984
Enzyme,xgb,f1_score,1.0
Epigenetic,xgb,f1_score,1.0
Epigenetic,rf,f1_score,0.9802
NR,xgb,f1_score,0.9864
Enzyme,svc,f1_score,0.9986
Enzyme,rf,f1_score,0.9954
NR,rf,f1_score,1.0
Epigenetic,svc,f1_score,0.9588
GPCR,xgb,f1_score,1.0
Other,svc,f1_score,0.9645
GPCR,xgb,f1_score,0.9839
Kinase,mlp,f1_score,0.9992
Other,rf,f1_score,1.0
Kinase,xgb,f1_score,0.9739
Enzyme,mlp,f1_score,0.9962
Enzyme,svc,f1_score,1.0
Kinase,svc,f1_score,0.9879
Enzyme,mlp,f1_score,0.9982
IC,xgb,f1_score,1.0
Enzyme,rf,f1_score,0.9968
Enzyme,svc,f1_score,0.9986
Enzyme,mlp,f1_score,0.9997
Enzyme,xgb,f1_score,0.9906
Enzyme,mlp,f1_score,1.0
Other,xgb,f1_score,0.9934
GPCR,xgb,f1_score,0.998
Epigenetic,rf,f1_score,0.995
Kinase,svc,f1_score,0.9959
Enzyme,svc,f1_score,0.9763
Enzyme,rf,f1_score,0.996
Enzyme,rf,f1_score,1.0
GPCR,rf,f1_score,0.998
GPCR,mlp,f1_score,0.9958
Enzyme,rf,f1_score,0.9635
Enzyme,xgb,f1_score,1.0
GPCR,svc,f1_score,0.9972
Enzyme,xgb,f1_score,1.0
Other,svc,f1_score,0.9886
Other,svc,f1_score,1.0
Other,mlp,f1_score,0.9864
Enzyme,mlp,f1_score,0.9965
Kinase,svc,f1_score,0.9911
GPCR,xgb,f1_score,0.9983
Enzyme,xgb,f1_score,0.9853
NR,svc,f1_score,1.0
Kinase,rf,f1_score,1.0
Enzyme,xgb,f1_score,1.0
Kinase,xgb,f1_score,1.0
Kinase,xgb,f1_score,0.995
Transporter,xgb,f1_score,1.0
Kinase,rf,f1_score,0.9934
Enzyme,xgb,f1_score,0.9613
Kinase,svc,f1_score,1.0
