,protein_family,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
P30559,GPCR,0.9938,0.9937,0.9613,0.9616,0.9948,0.9948,0.9679,0.9681,0.9885,0.9886,0.9315,0.9317,0.9938,0.9937,0.9613,0.9616,3836,960,436,4360,rf,f1_score,0.9948
P09038,Other,0.9924,0.9923,0.9524,0.9535,0.9924,0.9923,0.9524,0.9535,1.0,1.0,1.0,1.0,0.9924,0.9923,0.9524,0.9535,528,132,60,600,svc,f1_score,1.0
P43004,Transporter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,237,60,27,270,xgb,f1_score,1.0
Q9P1W9,Kinase,0.9984,0.9984,0.9902,0.9902,0.9976,0.9976,0.9851,0.9852,0.9968,0.9968,0.9807,0.9809,0.9976,0.9976,0.9852,0.9852,4945,1237,562,5620,xgb,f1_score,0.9984
P05413,Other,0.9643,0.9627,0.8679,0.8756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110,28,23,115,rf,f1_score,1.0
P49281,Transporter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,264,66,30,300,xgb,f1_score,1.0
P27361,Kinase,0.9483,0.9379,0.5492,0.6153,0.9655,0.9615,0.7327,0.7604,0.9655,0.9655,0.7811,0.7811,0.9138,0.9094,0.3983,0.4013,228,58,26,260,svc,f1_score,0.9655
Q15118,Kinase,0.9955,0.9955,0.9719,0.9723,0.9955,0.9955,0.9719,0.9723,0.991,0.991,0.9451,0.9451,0.991,0.991,0.9451,0.9451,888,223,101,1010,xgb,f1_score,0.9955
P08254,Other,0.997,0.9969,0.9814,0.9814,0.9966,0.9966,0.9792,0.9793,0.9956,0.9956,0.9735,0.9735,0.997,0.997,0.9817,0.9818,11809,2953,1342,13420,mlp,f1_score,0.997
P14867,IC,0.9815,0.9769,0.4796,0.5616,0.9893,0.988,0.7504,0.7749,0.9786,0.9786,0.5962,0.5962,0.9835,0.9836,0.6933,0.6934,4114,1029,139,5004,rf,f1_score,0.988
P35218,Enzyme,0.9862,0.9838,0.6438,0.689,0.9911,0.9903,0.7956,0.8128,0.9862,0.9862,0.7336,0.7336,0.9911,0.9907,0.8118,0.8163,4055,1014,137,4932,mlp,f1_score,0.9907
P49238,GPCR,0.9855,0.9849,0.9013,0.9057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,272,69,31,310,rf,f1_score,1.0
Q9Y210,IC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,193,49,22,220,xgb,f1_score,1.0
Q13882,Kinase,0.9667,0.9662,0.9231,0.9258,0.9667,0.9662,0.9231,0.9258,0.9333,0.9333,0.85,0.85,0.9667,0.967,0.9268,0.9293,120,30,50,100,mlp,f1_score,0.967
Q8N5Z0,Enzyme,0.9916,0.9918,0.9519,0.953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9748,0.9761,0.8661,0.874,475,119,54,540,rf,f1_score,1.0
Q08828,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9899,0.9901,0.9418,0.9434,396,99,45,450,xgb,f1_score,1.0
O75582,Kinase,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,308,77,35,350,xgb,f1_score,1.0
P54760,Kinase,0.9805,0.9802,0.8782,0.879,0.9805,0.9802,0.8782,0.879,0.987,0.9874,0.9262,0.9287,0.961,0.9632,0.7911,0.7989,616,154,70,700,svc,f1_score,0.9874
Q9NYA1,Kinase,0.9796,0.9782,0.8464,0.8566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,193,49,22,220,rf,f1_score,1.0
P07858,Enzyme,0.9899,0.989,0.7728,0.787,0.9924,0.992,0.8383,0.845,0.9865,0.9867,0.7506,0.751,0.9933,0.9934,0.8753,0.8757,14237,3560,481,17316,mlp,f1_score,0.9934
O60741,IC,0.9796,0.9782,0.8464,0.8566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,193,49,22,220,rf,f1_score,1.0
P18507,IC,0.9537,0.9466,0.6447,0.6897,0.9259,0.9222,0.5157,0.5195,0.9259,0.9289,0.5955,0.5986,0.9444,0.9416,0.6368,0.6415,431,108,49,490,xgb,f1_score,0.9466
Q9UHL4,Enzyme,0.9902,0.9892,0.7745,0.795,0.9954,0.9952,0.9046,0.9088,0.9891,0.9892,0.7985,0.7989,0.9954,0.9952,0.9067,0.909,6956,1739,235,8460,mlp,f1_score,0.9952
P21397,Enzyme,0.9653,0.9652,0.9213,0.9215,0.97,0.9698,0.9315,0.9325,0.9543,0.9545,0.8983,0.899,0.9732,0.9732,0.9398,0.9399,2534,634,1056,2112,mlp,f1_score,0.9732
P48058,IC,0.9878,0.9874,0.9165,0.9197,1.0,1.0,1.0,1.0,0.9634,0.9663,0.8038,0.8198,1.0,1.0,1.0,1.0,325,82,37,370,rf,f1_score,1.0
Q16581,GPCR,0.9863,0.9858,0.9156,0.9189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9863,0.9858,0.9156,0.9189,290,73,33,330,rf,f1_score,1.0
P32247,GPCR,0.9874,0.9855,0.7,0.7338,0.9987,0.9987,0.9761,0.9764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3162,791,108,3845,svc,f1_score,1.0
P11387,Enzyme,0.9962,0.9961,0.9211,0.924,0.9981,0.9981,0.962,0.9627,0.9981,0.9981,0.9645,0.9651,0.9962,0.9961,0.9211,0.924,4203,1051,142,5112,svc,f1_score,0.9981
P18031,Enzyme,0.9891,0.9888,0.931,0.9323,0.9904,0.9902,0.9392,0.941,0.9822,0.9823,0.8932,0.8932,0.9904,0.9904,0.9421,0.9421,5852,1463,665,6650,mlp,f1_score,0.9904
Q92847,GPCR,0.997,0.9969,0.9416,0.9427,0.9976,0.9976,0.9538,0.9544,0.9964,0.9965,0.935,0.9355,0.9976,0.9976,0.9543,0.9546,13356,3340,460,16236,mlp,f1_score,0.9976
O43614,GPCR,0.996,0.996,0.9911,0.9911,0.998,0.998,0.9955,0.9955,0.9781,0.9782,0.9512,0.9514,0.9841,0.9841,0.9641,0.9642,2008,503,837,1674,rf,f1_score,0.998
P17752,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,290,73,121,242,xgb,f1_score,1.0
P48039,GPCR,0.9914,0.9912,0.9455,0.9469,0.9914,0.9912,0.9455,0.9469,0.9906,0.9907,0.9444,0.9448,0.9922,0.9923,0.954,0.9547,5112,1279,581,5810,mlp,f1_score,0.9923
Q8WTV0,Other,0.9735,0.9713,0.8097,0.8247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,448,113,51,510,rf,f1_score,1.0
Q02763,Kinase,0.9883,0.9866,0.7145,0.7455,0.9975,0.9974,0.9495,0.9507,0.9966,0.9966,0.9358,0.9358,0.9941,0.9939,0.8784,0.8817,4765,1192,161,5796,rf,f1_score,0.9974
Q10469,Enzyme,0.9902,0.9899,0.9358,0.9378,0.9902,0.9899,0.9358,0.9378,0.9706,0.9724,0.8411,0.8519,0.9902,0.9899,0.9358,0.9378,404,102,46,460,xgb,f1_score,0.9899
P14920,Enzyme,0.9838,0.9804,0.5647,0.6273,0.9968,0.9967,0.9345,0.9365,0.9968,0.9968,0.9417,0.9433,0.9968,0.9967,0.9345,0.9365,3700,925,125,4500,svc,f1_score,0.9968
P14091,Enzyme,0.9902,0.9899,0.9358,0.9378,0.9902,0.9899,0.9358,0.9378,0.9804,0.9804,0.8781,0.8781,0.9608,0.9585,0.7291,0.7359,404,102,46,460,xgb,f1_score,0.9899
P42336,Kinase,0.9945,0.9944,0.9657,0.966,0.9948,0.9948,0.968,0.9682,0.9958,0.9959,0.975,0.975,0.9969,0.9969,0.9811,0.9811,11545,2887,1312,13120,mlp,f1_score,0.9969
Q09428,Transporter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96,24,20,100,xgb,f1_score,1.0
Q9H4B4,Kinase,0.9355,0.9205,0.4746,0.5578,0.9839,0.9832,0.9003,0.9048,0.9516,0.9533,0.7424,0.7451,0.9839,0.9832,0.9003,0.9048,246,62,28,280,rf,f1_score,0.9832
Q01726,GPCR,0.9821,0.9812,0.8793,0.8858,1.0,1.0,1.0,1.0,0.9881,0.9884,0.9309,0.9332,1.0,1.0,1.0,1.0,668,168,76,760,rf,f1_score,1.0
Q9H237,Enzyme,1.0,1.0,1.0,1.0,0.9333,0.9312,0.8421,0.8528,0.9333,0.9346,0.8571,0.866,1.0,1.0,1.0,1.0,57,15,24,48,xgb,f1_score,1.0
Q12852,Kinase,0.9964,0.9964,0.9776,0.9779,0.9964,0.9964,0.9776,0.9779,0.9964,0.9964,0.9781,0.9782,0.9976,0.9976,0.9853,0.9853,3317,830,377,3770,mlp,f1_score,0.9976
P21917,GPCR,0.9914,0.9913,0.9467,0.9472,0.9882,0.9879,0.9252,0.9267,0.9871,0.9873,0.9237,0.924,0.9903,0.9903,0.941,0.9411,11184,2797,1271,12710,xgb,f1_score,0.9913
P35346,GPCR,0.9881,0.9881,0.9732,0.9732,1.0,1.0,1.0,1.0,0.9881,0.9881,0.9735,0.9738,0.9881,0.9881,0.9732,0.9732,669,168,279,558,rf,f1_score,1.0
P37088,IC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,378,95,43,430,xgb,f1_score,1.0
Q9Y2R2,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,299,75,34,340,xgb,f1_score,1.0
O95136,GPCR,0.9948,0.9948,0.9686,0.9691,0.9948,0.9948,0.9686,0.9691,0.9897,0.9897,0.9388,0.9388,0.9845,0.9843,0.9058,0.9062,774,194,88,880,xgb,f1_score,0.9948
Q9HBA0,IC,0.9697,0.9689,0.807,0.8087,1.0,1.0,1.0,1.0,0.9899,0.9901,0.9418,0.9434,1.0,1.0,1.0,1.0,396,99,45,450,rf,f1_score,1.0
P15090,Other,1.0,1.0,1.0,1.0,0.9924,0.9923,0.9524,0.9535,0.9697,0.9697,0.8167,0.8167,0.9697,0.9684,0.8018,0.8058,528,132,60,600,xgb,f1_score,1.0
P37058,Enzyme,0.997,0.9969,0.9814,0.9816,0.9939,0.9938,0.9622,0.9629,0.997,0.9969,0.9814,0.9816,0.9939,0.9939,0.9633,0.9633,1320,330,150,1500,xgb,f1_score,0.9969
P49327,Enzyme,0.9971,0.997,0.9419,0.9435,0.999,0.999,0.9813,0.9815,0.999,0.999,0.982,0.9821,0.9965,0.9965,0.9331,0.9331,12402,3101,419,15084,svc,f1_score,0.999
P37059,Enzyme,0.9953,0.995,0.9014,0.9058,0.9953,0.995,0.9014,0.9058,0.9957,0.9958,0.9222,0.923,0.9953,0.9951,0.9032,0.906,8436,2109,285,10260,svc,f1_score,0.9958
Q99814,Other,0.9892,0.9889,0.9275,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9892,0.9895,0.9353,0.9372,369,93,42,420,rf,f1_score,1.0
P52333,Kinase,0.9934,0.9933,0.959,0.9595,0.9905,0.9903,0.9404,0.9412,0.9912,0.9912,0.9471,0.9472,0.9934,0.9934,0.9599,0.9599,5447,1362,619,6190,mlp,f1_score,0.9934
Q9NR22,Epigenetic,0.9773,0.9758,0.8451,0.8554,1.0,1.0,1.0,1.0,0.9773,0.9784,0.8764,0.8832,0.9545,0.9475,0.6452,0.6901,176,44,20,200,rf,f1_score,1.0
Q6V1X1,Enzyme,0.9912,0.9903,0.8,0.8165,0.9966,0.9965,0.9303,0.9326,0.9927,0.9929,0.8702,0.8728,0.9927,0.9925,0.8534,0.8544,8169,2043,276,9936,rf,f1_score,0.9965
P35228,Enzyme,0.9809,0.98,0.8741,0.8795,0.9888,0.9884,0.9281,0.9305,0.9663,0.9669,0.8029,0.8035,0.9832,0.9832,0.8987,0.8987,3564,891,405,4050,rf,f1_score,0.9884
Q01064,Enzyme,0.9545,0.9475,0.6452,0.6901,0.9545,0.9475,0.6452,0.6901,0.9848,0.9842,0.9009,0.9054,0.9394,0.9394,0.6333,0.6333,264,66,30,300,svc,f1_score,0.9842
P23786,Enzyme,0.974,0.972,0.8197,0.8333,0.987,0.9866,0.916,0.9193,1.0,1.0,1.0,1.0,0.974,0.972,0.8197,0.8333,308,77,35,350,svc,f1_score,1.0
O75762,IC,0.9703,0.9677,0.7906,0.8085,0.9886,0.9882,0.9271,0.9296,0.9772,0.9772,0.8624,0.8624,0.9817,0.9815,0.8874,0.8878,1751,438,199,1990,rf,f1_score,0.9882
P08709,Enzyme,0.9958,0.9956,0.9162,0.9194,0.9979,0.9978,0.9597,0.9605,0.9968,0.9969,0.9428,0.943,0.9974,0.9973,0.951,0.9511,7555,1889,264,9180,rf,f1_score,0.9978
Q9HAZ1,Kinase,0.9615,0.9592,0.8354,0.847,0.9231,0.9119,0.6286,0.677,0.8846,0.8897,0.5979,0.6034,0.8846,0.8777,0.5063,0.5133,100,26,21,105,xgb,f1_score,0.9592
O60427,Enzyme,0.9636,0.9594,0.7317,0.7596,0.9818,0.9809,0.8791,0.8856,0.9636,0.9636,0.78,0.78,1.0,1.0,1.0,1.0,220,55,25,250,mlp,f1_score,1.0
P25101,GPCR,0.9929,0.9929,0.984,0.984,0.9976,0.9976,0.9947,0.9947,0.9905,0.9905,0.9787,0.9787,0.9787,0.9788,0.9527,0.9533,1687,422,703,1406,rf,f1_score,0.9976
Q00987,Enzyme,0.9984,0.9984,0.9905,0.9905,0.9972,0.9972,0.9827,0.9828,0.9972,0.9972,0.983,0.983,0.9975,0.9975,0.9849,0.9849,12742,3186,1448,14480,xgb,f1_score,0.9984
P47869,IC,0.9856,0.983,0.6252,0.6744,0.9948,0.9947,0.8953,0.8971,0.9794,0.9804,0.6447,0.6484,0.9887,0.9886,0.7785,0.7787,3877,970,131,4716,rf,f1_score,0.9947
P34998,GPCR,0.9933,0.9933,0.9588,0.9592,0.9941,0.9941,0.9637,0.964,0.9933,0.9934,0.9598,0.9598,0.9945,0.9945,0.966,0.9664,10216,2555,1161,11610,mlp,f1_score,0.9945
P22894,Enzyme,0.9958,0.9958,0.9745,0.9746,0.9948,0.9947,0.9677,0.9682,0.9958,0.9959,0.975,0.975,0.9948,0.9948,0.9682,0.9683,7691,1923,874,8740,svc,f1_score,0.9959
Q9H244,GPCR,0.9978,0.9978,0.9866,0.9866,0.9985,0.9985,0.9911,0.9911,0.9949,0.9949,0.9695,0.9697,0.9963,0.9963,0.9777,0.9778,5473,1369,622,6220,rf,f1_score,0.9985
P32745,GPCR,0.9927,0.9927,0.9835,0.9837,0.9854,0.9854,0.9673,0.9673,0.9781,0.9783,0.9517,0.9528,0.9124,0.9093,0.7925,0.8046,547,137,228,456,xgb,f1_score,0.9927
Q9H228,GPCR,0.9904,0.9902,0.9382,0.94,0.9968,0.9968,0.9801,0.9803,0.9936,0.9936,0.9608,0.9608,0.9968,0.9968,0.9801,0.9803,1249,313,142,1420,rf,f1_score,0.9968
P16581,Other,0.9924,0.9917,0.8295,0.8419,0.9924,0.9917,0.8295,0.8419,0.9975,0.9975,0.9511,0.9511,0.9975,0.9974,0.9487,0.9499,3137,785,106,3816,svc,f1_score,0.9975
P21980,Enzyme,0.9884,0.9881,0.9248,0.9274,0.9913,0.9911,0.9444,0.9459,0.9827,0.9831,0.8995,0.9016,0.9913,0.9913,0.9461,0.9462,1381,346,157,1570,mlp,f1_score,0.9913
Q9UNA0,Enzyme,0.9927,0.9921,0.8414,0.8522,0.996,0.9959,0.919,0.922,0.994,0.994,0.8885,0.8886,0.9953,0.9951,0.9043,0.9085,6008,1503,203,7308,rf,f1_score,0.9959
Q8NET8,IC,0.9979,0.9979,0.9874,0.9875,0.9979,0.9979,0.9874,0.9875,0.9918,0.9919,0.951,0.9513,0.9959,0.9959,0.9745,0.9748,1944,487,221,2210,xgb,f1_score,0.9979
P62942,Enzyme,0.9947,0.9946,0.9668,0.9673,0.996,0.996,0.9756,0.9756,0.9987,0.9987,0.9919,0.9919,0.9973,0.9973,0.9836,0.9837,3000,751,341,3410,svc,f1_score,0.9987
Q16853,Enzyme,0.9745,0.9726,0.8238,0.8369,0.9855,0.9849,0.9052,0.9093,0.9673,0.9681,0.8121,0.8137,0.9782,0.9778,0.8631,0.864,1100,275,125,1250,rf,f1_score,0.9849
P15538,Enzyme,0.9828,0.9828,0.9614,0.9614,0.9828,0.9828,0.9614,0.9614,0.9862,0.9862,0.969,0.969,0.9621,0.9619,0.9141,0.9144,1159,290,483,966,svc,f1_score,0.9862
P10619,Enzyme,0.9993,0.9993,0.9859,0.986,0.9993,0.9993,0.9859,0.986,0.9993,0.9993,0.9859,0.986,0.9986,0.9985,0.9715,0.9719,5535,1384,187,6732,xgb,f1_score,0.9993
Q16288,Kinase,0.9286,0.9297,0.8511,0.8607,0.9286,0.9265,0.8372,0.8485,0.8571,0.8571,0.6889,0.6889,0.9286,0.9297,0.8511,0.8607,52,14,22,44,xgb,f1_score,0.9297
P53582,Enzyme,0.965,0.9612,0.7442,0.7698,0.972,0.9697,0.8036,0.8195,0.965,0.963,0.7639,0.7717,0.972,0.9697,0.8036,0.8195,572,143,65,650,rf,f1_score,0.9697
O15264,Kinase,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9688,0.9688,0.8161,0.8161,0.9688,0.9688,0.8161,0.8161,255,64,29,290,xgb,f1_score,1.0
P25098,Kinase,0.9767,0.9752,0.8448,0.8551,1.0,1.0,1.0,1.0,0.9884,0.9887,0.9347,0.9367,0.9767,0.9767,0.8622,0.8622,343,86,39,390,rf,f1_score,1.0
P11362,Kinase,0.9846,0.9841,0.9007,0.9037,0.9902,0.99,0.9378,0.9396,0.9874,0.9875,0.9254,0.9257,0.9874,0.9874,0.9233,0.9233,2860,715,325,3250,rf,f1_score,0.99
P43681,IC,0.986,0.9859,0.913,0.9131,0.9916,0.9915,0.9478,0.9479,0.9776,0.9784,0.8734,0.8774,0.9916,0.9915,0.9478,0.9479,1425,357,162,1620,rf,f1_score,0.9915
Q00535,Kinase,0.8929,0.8965,0.6613,0.6655,0.8214,0.8276,0.4355,0.4383,0.8214,0.8276,0.4355,0.4383,0.6786,0.7159,0.2921,0.3499,110,28,23,115,xgb,f1_score,0.8965
Q12791,IC,0.9588,0.9533,0.694,0.729,0.9794,0.9782,0.864,0.8721,0.9278,0.9346,0.6569,0.6776,0.9691,0.9698,0.825,0.8264,387,97,44,440,rf,f1_score,0.9782
Q9HC97,GPCR,0.9394,0.9252,0.4762,0.559,0.9394,0.9252,0.4762,0.559,0.9242,0.9125,0.4086,0.437,0.9545,0.9475,0.6452,0.6901,264,66,30,300,mlp,f1_score,0.9475
Q06187,Kinase,0.9923,0.9922,0.9523,0.9528,0.9974,0.9974,0.9843,0.9844,0.9974,0.9974,0.9847,0.9848,0.9949,0.9949,0.9698,0.9702,3115,779,354,3540,svc,f1_score,0.9974
Q07817,Other,0.9907,0.9906,0.9423,0.9428,0.9938,0.9937,0.9613,0.962,0.9959,0.9959,0.9753,0.9753,0.9928,0.9928,0.956,0.9561,3880,971,441,4410,svc,f1_score,0.9959
P08235,NR,0.9943,0.9942,0.9646,0.9652,0.9972,0.9971,0.9826,0.9827,0.9943,0.9944,0.9666,0.9671,0.9915,0.9915,0.9492,0.9493,1408,352,160,1600,rf,f1_score,0.9971
O60674,Kinase,0.9976,0.9976,0.9853,0.9853,0.9972,0.9972,0.9832,0.9832,0.9955,0.9955,0.973,0.9731,0.9941,0.9942,0.965,0.9652,11572,2893,1315,13150,xgb,f1_score,0.9976
P07948,Kinase,0.9273,0.9127,0.3973,0.4454,0.9545,0.9475,0.6452,0.6901,0.9727,0.9733,0.8421,0.8433,0.9273,0.9302,0.5963,0.5994,440,110,50,500,svc,f1_score,0.9733
P37231,NR,0.9961,0.996,0.9759,0.9762,0.9966,0.9965,0.9789,0.9792,0.9936,0.9936,0.9616,0.9616,0.9956,0.9956,0.9729,0.9731,8166,2042,928,9280,rf,f1_score,0.9965
Q04760,Enzyme,0.9577,0.9512,0.6468,0.6913,0.9859,0.9853,0.9015,0.9059,0.9437,0.9472,0.6837,0.6925,1.0,1.0,1.0,1.0,281,71,32,320,mlp,f1_score,1.0
O75907,Enzyme,0.997,0.997,0.9816,0.9817,0.9985,0.9985,0.9908,0.9909,0.997,0.997,0.9821,0.9822,0.9993,0.9993,0.9955,0.9955,5341,1336,607,6070,mlp,f1_score,0.9993
P52895,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,334,84,38,380,xgb,f1_score,1.0
Q96DB2,Epigenetic,0.9858,0.9833,0.6407,0.6866,0.9929,0.9924,0.8464,0.8566,0.9917,0.9918,0.8468,0.847,0.9917,0.9914,0.833,0.8351,3375,844,115,4104,rf,f1_score,0.9924
P08311,Enzyme,0.9467,0.94,0.6099,0.6378,0.9733,0.9713,0.8193,0.833,0.9533,0.9541,0.7328,0.7334,0.98,0.9797,0.8779,0.8786,598,150,68,680,mlp,f1_score,0.9797
P98170,Enzyme,0.9981,0.9981,0.9885,0.9885,0.999,0.999,0.9942,0.9943,0.9971,0.9972,0.983,0.9832,1.0,1.0,1.0,1.0,4206,1052,478,4780,mlp,f1_score,1.0
Q13443,Enzyme,0.9804,0.9794,0.8783,0.8849,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9412,0.9295,0.546,0.6128,202,51,23,230,rf,f1_score,1.0
P31644,IC,0.9942,0.9942,0.9642,0.9645,0.9933,0.9932,0.9589,0.9589,0.9865,0.9867,0.9204,0.9209,0.9942,0.9942,0.9642,0.9645,4153,1039,472,4720,xgb,f1_score,0.9942
P41180,GPCR,0.9809,0.9761,0.473,0.5565,0.9956,0.9954,0.912,0.9156,0.9956,0.9958,0.9246,0.9272,0.9971,0.997,0.9429,0.9445,2725,682,93,3314,mlp,f1_score,0.997
P22460,IC,0.9755,0.9754,0.9446,0.9447,0.9755,0.9755,0.9451,0.9452,0.9785,0.9786,0.9519,0.9519,0.9785,0.9785,0.9517,0.9517,1300,326,542,1084,svc,f1_score,0.9786
Q14416,GPCR,0.9892,0.9889,0.9316,0.9338,0.9946,0.9945,0.9667,0.9673,0.9838,0.9836,0.9002,0.9007,0.9784,0.9778,0.8632,0.8652,739,185,84,840,rf,f1_score,0.9945
P03952,Enzyme,0.9895,0.9892,0.9337,0.9357,0.9948,0.9947,0.9677,0.9682,0.9869,0.987,0.9223,0.9225,0.9869,0.9864,0.9159,0.9192,1522,381,173,1730,rf,f1_score,0.9947
Q7Z601,GPCR,0.95,0.9399,0.55,0.6159,1.0,1.0,1.0,1.0,0.9833,0.984,0.9,0.9045,1.0,1.0,1.0,1.0,237,60,27,270,rf,f1_score,1.0
Q9UIQ6,Enzyme,0.9677,0.9643,0.7529,0.777,0.9785,0.9771,0.8458,0.856,1.0,1.0,1.0,1.0,0.9892,0.9889,0.9275,0.93,369,93,42,420,svc,f1_score,1.0
P33032,GPCR,0.9827,0.9799,0.6588,0.7009,0.9957,0.9955,0.9311,0.9333,0.9957,0.9957,0.9353,0.9353,0.9957,0.9955,0.9311,0.9333,1850,463,82,2231,svc,f1_score,0.9957
Q05469,Enzyme,0.9965,0.9965,0.9784,0.9784,0.9929,0.9928,0.9561,0.9563,0.984,0.9846,0.9101,0.9138,0.9894,0.9895,0.9365,0.9367,2252,564,256,2560,xgb,f1_score,0.9965
P0C869,Enzyme,0.9655,0.9615,0.7327,0.7604,0.9828,0.9819,0.8797,0.8861,0.9655,0.9681,0.8147,0.8291,0.9655,0.9615,0.7327,0.7604,228,58,26,260,rf,f1_score,0.9819
Q8WUI4,Epigenetic,0.9362,0.9343,0.8511,0.8607,0.8936,0.8877,0.7437,0.7694,0.9787,0.9785,0.9519,0.953,0.8723,0.8723,0.7157,0.7157,184,47,77,154,svc,f1_score,0.9785
Q9UBX1,Enzyme,0.8966,0.8919,0.6063,0.6116,0.931,0.9238,0.7129,0.7442,0.931,0.931,0.7583,0.7583,0.931,0.9238,0.7129,0.7442,115,29,24,120,svc,f1_score,0.931
O14649,IC,1.0,1.0,1.0,1.0,0.9956,0.9956,0.9732,0.9735,0.9911,0.9913,0.9475,0.9488,1.0,1.0,1.0,1.0,897,225,102,1020,xgb,f1_score,1.0
P06734,Other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9677,0.97,0.8246,0.8376,369,93,42,420,xgb,f1_score,1.0
Q9NPC2,IC,0.9902,0.9899,0.9358,0.9378,0.9902,0.9899,0.9358,0.9378,0.9608,0.9625,0.7785,0.7833,0.9902,0.9899,0.9358,0.9378,404,102,46,460,xgb,f1_score,0.9899
P43490,Enzyme,0.985,0.9844,0.9025,0.9068,0.981,0.9799,0.8731,0.8802,0.966,0.9669,0.8064,0.8084,0.9837,0.9831,0.8944,0.8979,2939,735,334,3340,xgb,f1_score,0.9844
P17252,Kinase,0.9877,0.9873,0.9201,0.9231,0.9938,0.9937,0.9613,0.9621,0.9979,0.9979,0.9874,0.9875,0.9959,0.9959,0.975,0.975,1944,487,221,2210,svc,f1_score,0.9979
O00255,Other,0.9815,0.9805,0.8789,0.8854,0.9815,0.9805,0.8789,0.8854,0.9907,0.9909,0.9473,0.9486,0.963,0.9587,0.7313,0.7593,431,108,49,490,svc,f1_score,0.9909
P24941,Kinase,0.9917,0.9915,0.9478,0.9491,0.987,0.9866,0.917,0.9192,0.987,0.987,0.9218,0.9219,0.9917,0.9917,0.9497,0.9497,3370,843,383,3830,mlp,f1_score,0.9917
P19793,NR,0.9883,0.9879,0.9251,0.9277,0.9977,0.9976,0.9857,0.9858,0.9977,0.9977,0.9861,0.9861,0.9906,0.9908,0.9461,0.9474,1707,427,194,1940,svc,f1_score,0.9977
P28482,Kinase,0.9964,0.9964,0.9779,0.9781,0.9964,0.9964,0.9779,0.9781,0.997,0.997,0.982,0.982,0.9988,0.9988,0.9928,0.9928,6696,1675,761,7610,mlp,f1_score,0.9988
P11509,Other,0.9275,0.903,0.2675,0.393,0.971,0.9683,0.785,0.8038,0.9855,0.9849,0.9013,0.9057,0.971,0.9683,0.785,0.8038,272,69,31,310,svc,f1_score,0.9849
P15559,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9921,0.9922,0.9522,0.9533,0.9921,0.9922,0.9522,0.9533,501,126,57,570,xgb,f1_score,1.0
Q9HCR9,Enzyme,0.9815,0.9805,0.8789,0.8854,0.9815,0.9805,0.8789,0.8854,0.9815,0.9822,0.8989,0.9035,1.0,1.0,1.0,1.0,431,108,49,490,mlp,f1_score,1.0
