,protein_family,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
P49721,Enzyme,0.942,0.9284,0.4773,0.5599,0.971,0.9683,0.785,0.8038,0.9855,0.9849,0.9013,0.9057,1.0,1.0,1.0,1.0,272,69,31,310,mlp,f1_score,1.0
Q07820,Other,0.9935,0.9934,0.9594,0.9602,0.9918,0.9917,0.9496,0.9501,0.9886,0.9887,0.9328,0.9332,0.9886,0.9888,0.9339,0.9349,2446,612,278,2780,xgb,f1_score,0.9934
Q99705,GPCR,0.998,0.998,0.9877,0.9877,0.998,0.998,0.9877,0.9877,0.9978,0.9978,0.9865,0.9865,0.9969,0.9968,0.9809,0.9809,17828,4458,2026,20260,xgb,f1_score,0.998
Q9UKV0,Epigenetic,0.99,0.9898,0.9358,0.9377,0.995,0.995,0.9687,0.9692,0.9851,0.9849,0.9061,0.9066,0.995,0.995,0.9687,0.9692,800,201,91,910,rf,f1_score,0.995
Q02750,Kinase,0.9959,0.9959,0.9745,0.9748,0.9959,0.9959,0.9745,0.9748,0.9959,0.9959,0.975,0.975,0.9959,0.9959,0.975,0.975,1944,487,221,2210,svc,f1_score,0.9959
P55212,Enzyme,0.963,0.9585,0.7184,0.7487,0.9704,0.9676,0.7847,0.8035,0.9778,0.9763,0.8454,0.8557,0.9704,0.9691,0.8022,0.8062,536,135,61,610,svc,f1_score,0.9763
P50281,Enzyme,0.9921,0.9919,0.9502,0.9514,0.996,0.996,0.9756,0.9759,0.9947,0.9947,0.9681,0.9681,0.9894,0.9892,0.9336,0.9348,3018,755,343,3430,rf,f1_score,0.996
P98073,Enzyme,0.9987,0.9987,0.9749,0.9753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6216,1554,210,7560,rf,f1_score,1.0
Q13639,GPCR,0.9953,0.995,0.9024,0.9067,0.998,0.998,0.9614,0.9621,0.9964,0.9965,0.9361,0.9373,0.9976,0.9976,0.9559,0.956,10124,2532,344,12312,rf,f1_score,0.998
P25103,GPCR,0.9953,0.9952,0.971,0.9712,0.9935,0.9935,0.96,0.9604,0.9896,0.9895,0.9364,0.9365,0.9958,0.9958,0.9742,0.9743,16121,4031,1832,18320,mlp,f1_score,0.9958
Q15125,Enzyme,0.9451,0.9334,0.5226,0.5947,0.967,0.9635,0.7525,0.7767,0.9341,0.9297,0.5365,0.543,0.956,0.9492,0.6459,0.6907,360,91,41,410,rf,f1_score,0.9635
Q6P988,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9928,0.9929,0.959,0.9598,0.9856,0.9861,0.9206,0.9235,554,139,63,630,xgb,f1_score,1.0
P32238,GPCR,0.9886,0.9872,0.7279,0.7565,0.9964,0.9964,0.9297,0.9305,0.9972,0.9972,0.9473,0.9476,0.9972,0.9972,0.9459,0.9459,5630,1408,192,6846,svc,f1_score,0.9972
P19971,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655,0.9681,0.8147,0.8291,0.931,0.9093,0.3136,0.4312,228,58,26,260,xgb,f1_score,1.0
P09238,Other,0.9773,0.9758,0.8451,0.8554,0.983,0.9822,0.8874,0.8931,0.9886,0.9886,0.9313,0.9313,0.9886,0.9883,0.9272,0.9296,704,176,80,800,svc,f1_score,0.9886
P13497,Other,0.9941,0.9938,0.8755,0.8824,0.9991,0.9991,0.9826,0.9827,1.0,1.0,1.0,1.0,0.9986,0.9986,0.9741,0.9741,8850,2213,299,10764,svc,f1_score,1.0
P05121,Other,0.9671,0.9638,0.7657,0.7876,0.9803,0.9792,0.8694,0.8769,0.9737,0.9751,0.8606,0.869,0.9868,0.9864,0.9159,0.9192,607,152,69,690,mlp,f1_score,0.9864
O14672,Enzyme,0.9929,0.9927,0.9544,0.9554,0.9929,0.9927,0.9544,0.9554,0.9929,0.9929,0.9561,0.9561,0.9964,0.9965,0.9784,0.9787,1117,280,127,1270,mlp,f1_score,0.9965
P53667,Kinase,0.9818,0.9809,0.8791,0.8856,0.9818,0.9809,0.8791,0.8856,0.9909,0.9911,0.9474,0.9487,0.9636,0.9636,0.78,0.78,440,110,50,500,svc,f1_score,0.9911
P41597,GPCR,0.9984,0.9983,0.99,0.99,0.9962,0.9961,0.9764,0.9766,0.9918,0.9919,0.9517,0.9523,0.9967,0.9967,0.9803,0.9804,7295,1824,829,8290,xgb,f1_score,0.9983
P28715,Enzyme,0.9859,0.9853,0.9015,0.9059,0.9859,0.9853,0.9015,0.9059,0.9859,0.9853,0.9015,0.9059,0.9577,0.956,0.7046,0.708,281,71,32,320,xgb,f1_score,0.9853
P13631,NR,0.9851,0.9845,0.901,0.9055,0.995,0.995,0.9687,0.9692,1.0,1.0,1.0,1.0,0.99,0.9898,0.9358,0.9377,800,201,91,910,svc,f1_score,1.0
Q9Y243,Kinase,0.9942,0.9941,0.9646,0.9652,1.0,1.0,1.0,1.0,0.9884,0.9887,0.9347,0.9367,0.9942,0.9941,0.9646,0.9652,686,172,78,780,rf,f1_score,1.0
