protein_family,best_model,best_metric,best_score
Enzyme,mlp,cohen_kappa,0.9499
IC,mlp,cohen_kappa,0.9784
NR,rf,cohen_kappa,0.902
Enzyme,svc,cohen_kappa,0.9776
Enzyme,rf,cohen_kappa,0.9815
GPCR,mlp,cohen_kappa,0.9652
Enzyme,xgb,cohen_kappa,0.8448
Kinase,mlp,cohen_kappa,0.9389
Enzyme,mlp,cohen_kappa,0.9621
Enzyme,xgb,cohen_kappa,0.9845
NR,svc,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.9707
Enzyme,mlp,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.8787
Kinase,rf,cohen_kappa,1.0
Other,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9377
Kinase,svc,cohen_kappa,0.8696
Other,svc,cohen_kappa,0.9918
Epigenetic,mlp,cohen_kappa,0.8982
GPCR,xgb,cohen_kappa,1.0
Kinase,mlp,cohen_kappa,0.9749
Other,xgb,cohen_kappa,0.4545
Other,svc,cohen_kappa,0.635
GPCR,svc,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,1.0
Transporter,svc,cohen_kappa,0.9168
Kinase,svc,cohen_kappa,0.982
Epigenetic,mlp,cohen_kappa,0.9188
TF; Epigenetic,mlp,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.9646
Other,rf,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.5285
Kinase,svc,cohen_kappa,0.9476
Other,rf,cohen_kappa,1.0
Transporter,rf,cohen_kappa,0.9259999999999999
Kinase,xgb,cohen_kappa,1.0
Other,xgb,cohen_kappa,0.909
Enzyme,xgb,cohen_kappa,0.9677
Enzyme,rf,cohen_kappa,1.0
TF,svc,cohen_kappa,0.8559
Other,rf,cohen_kappa,0.8787
NR,mlp,cohen_kappa,0.9904
Kinase,xgb,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.9646
Enzyme,rf,cohen_kappa,0.9015
Enzyme,xgb,cohen_kappa,0.9495
GPCR,mlp,cohen_kappa,0.8427
Other,xgb,cohen_kappa,1.0
Other,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9864
Kinase,rf,cohen_kappa,1.0
Kinase,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.731
Kinase,mlp,cohen_kappa,0.9795
Kinase,rf,cohen_kappa,0.9935
Enzyme,rf,cohen_kappa,0.927
Kinase,rf,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,0.9115
GPCR,rf,cohen_kappa,0.7879999999999999
Enzyme,mlp,cohen_kappa,0.9428
Kinase,rf,cohen_kappa,0.9015
Enzyme,xgb,cohen_kappa,0.9159999999999999
Enzyme,rf,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,0.9719
Other,xgb,cohen_kappa,1.0
Other,rf,cohen_kappa,1.0
Other,xgb,cohen_kappa,1.0
Epigenetic,rf,cohen_kappa,0.9525
Kinase,xgb,cohen_kappa,0.927
GPCR,xgb,cohen_kappa,1.0
GPCR,mlp,cohen_kappa,0.9615
Enzyme,xgb,cohen_kappa,0.9407
Enzyme,svc,cohen_kappa,1.0
Kinase,mlp,cohen_kappa,0.9542
Other,rf,cohen_kappa,0.8797
GPCR,xgb,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,0.9652
TF,rf,cohen_kappa,0.9002
GPCR,mlp,cohen_kappa,0.9122
Other,svc,cohen_kappa,0.9558
Kinase,rf,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9267
GPCR,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9825
IC,rf,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.945
Other,mlp,cohen_kappa,1.0
Other,rf,cohen_kappa,0.9308
